id,tipo,numero,anio,fecha,titulo,paginas,chars_texto,pdf_local,inicio
24,circular,46,2012,2012-10-09,Circular NḞ 46 del 09 de Octubre del 2012,3,9425,pdfs/circular/2012/circular_historica_2012_circu46.pdf,"Circular NḞ 46 del 09 de Octubre del 2012

DEPARTAMENTO EMISOR 
OFICINA DE GESTIÓN NORMATIVA 
 
 
CIRCULAR N° 46 
 
SISTEMA DE PUBLICACIONES ADMINISTRATIVAS 
FECHA: 09 DE OCTUBRE DE 2012 
 
TABLAS DEL IMPUESTO ÚNICO DE SEGUNDA 
CATEGORÍA 
Y 
DEL 
IMPUESTO 
GLOBAL 
COMPLEMENTARIO 
 
PARA 
EL 
MES 
DE"
41,circular,29,2012,2012-01-01,Circular N∞29 del 18 de Mayo del 2012,1,249,pdfs/circular/2012/circular_historica_2012_circu29_scan.pdf,"Circular N∞29 del 18 de Mayo del 2012

MATERIA: Tabla de C·lculos de Reajustes, Intereses.

[DOCUMENTO ESCANEADO DEL SII]

Se conserva el encabezado limpio y el PDF escaneado. El OCR queda como apoyo auxiliar y no se indexa como contenido principal."
46,circular,24,2012,2012-01-01,Circular Nº 24 del 27 de Abril del 2012,3,4719,pdfs/circular/2012/circular_historica_2012_circu24_html.pdf,"Circular Nº 24 del 27 de Abril del 2012

MATERIA: Tabla de Cálculos de Reajustes, Intereses y Multas Mayo 2012

CIRCULAR Nº 24 DEL 27 DE ABRIL DEL 2012
MATERIA : TABLA DE CÁLCULOS DE REAJUSTES, INTERESES Y MULTAS MAYO 2012
La presente
Circular tiene por
objeto poner en conocimiento de las Unidades d"
63,circular,5,2012,2012-01-01,Circular Nº 05 del 11 de Enero del 2012,4,8930,pdfs/circular/2012/circular_historica_2012_circu05_html.pdf,"Circular Nº 05 del 11 de Enero del 2012

MATERIA: Informa Nuevos Límites Máximos Imponibles para los Efectos Previsionales Vigente Para el Ańo Calendario 2012

CIRCULAR Nº 05 DEL 11 DE ENERO DEL 2012
MATERIA : INFORMA NUEVOS LÍMITES MÁXIMOS IMPONIBLES PARA LOS EFECTOS PREVISIONALES VIGENTE PARA EL A"
45,circular,25,2012,2012-05-07,Circular NḞ 25 del 07 de Mayo del 2012,323,895422,pdfs/circular/2012/circular_historica_2012_circu25.pdf,"Circular NḞ 25 del 07 de Mayo del 2012

1
CIRCULAR N° 25, DEL 7 DE MAYO DE 2012 
MATERIA: TEXTO ACTUALIZADO DE RESOLUCIONES EXENTAS QUE ESTABLECEN 
OBLIGACIONES 
A 
LAS 
EMPRESAS 
O 
SOCIEDADES 
DE 
PRESENTAR 
AL 
S.I.I. 
DECLARACIONES JURADAS CON INFORMACIÓN RELACIONADA CON LOS IMPUESTOS 
ANUALES A"
30,circular,40,2012,2012-01-01,Circular Nº 40 del 10 de Agosto del 2012,5,8018,pdfs/circular/2012/circular_historica_2012_circu40_html.pdf,"Circular Nº 40 del 10 de Agosto del 2012

MATERIA: Tablas del Impuesto Único de Segunda Categoría y del Impuesto Global Complementario para el Mes de Septiembre del Ańo 2012 e Información Adicional Relacionada con Dichos Tributos.

CIRCULAR Nº 40 DEL 10 DE AGOSTO DEL 2012
MATERIA : TABLAS DEL IMPUES"
58,circular,10,2012,2012-01-31,Circular NḞ 10 del 31 de Enero del 2012,4,13395,pdfs/circular/2012/circular_historica_2012_circu10.pdf,"Circular NḞ 10 del 31 de Enero del 2012

CIRCULAR N° 10, DEL 31 DE ENERO DE 2012 
MATERIA : REQUISITOS PARA QUE UN VALOR SEA CONSIDERADO DE PRESENCIA BURSÁTIL 
PARA EFECTOS DE LA APLICACIÓN DEL ARTÍCULO 57 BIS, LETRA A), N°10 Y DEL ARTÍCULO 
107 DE LA LIR. 
I.- 
INTRODUCCIÓN. 
1.- 
El artículo 107 d"
40,circular,30,2012,2012-01-01,Circular Nº 30 del 18 de Mayo del 2012,1,390,pdfs/circular/2012/circular_historica_2012_circu30_scan.pdf,"Circular Nº 30 del 18 de Mayo del 2012

MATERIA: Tabla de Cálculos de Reajustes, Intereses y Multas sobre Pagos Provisionales Mensuales Obligatorios (PPM) con obligación tributaria anual cumplida, para aplicarse durante el AŃO 2012

[DOCUMENTO ESCANEADO DEL SII]

Se conserva el encabezado limpio y e"
35,circular,35,2012,2012-01-01,Circular Nº 35 del 12 de Julio del 2012,6,7959,pdfs/circular/2012/circular_historica_2012_circu35_html.pdf,"Circular Nº 35 del 12 de Julio del 2012

MATERIA: Tablas del Impuesto Único de Segunda Categoría y del Impuesto Global Complementario para el Mes de Agosto del Ańo 2012 e Información Adicional Relacionada con Dichos Tributos.

CIRCULAR Nº 35 DEL 12 DE JULIO DEL 2012
MATERIA : TABLAS DEL IMPUESTO ÚNI"
29,circular,41,2012,2012-01-01,Circular Nº 41 del 16 de Agosto del 2012,1,276,pdfs/circular/2012/circular_historica_2012_circu41_scan.pdf,"Circular Nº 41 del 16 de Agosto del 2012

MATERIA: Tabla de Cįlculos de Reajustes, Intereses y Multas Septiembre 2012

[DOCUMENTO ESCANEADO DEL SII]

Se conserva el encabezado limpio y el PDF escaneado. El OCR queda como apoyo auxiliar y no se indexa como contenido principal."
