tipo,anio,docs,sospechosos_truncados,sin_chars,sin_paginas,min_len,avg_len,max_len
circular,2026,10,0,0,0,2706,9966.4,40314
circular,2025,68,0,0,0,1510,22118.9,123312
circular,2024,54,0,0,0,1475,15317.6,110093
circular,2023,54,0,0,0,1721,10724.8,49825
circular,2022,58,0,0,0,178,18548.3,116521
circular,2021,67,0,0,0,59,26186.4,235818
circular,2020,73,0,0,0,772,30622.2,447142
circular,2019,49,0,0,0,1322,8372.7,30419
circular,2018,60,0,0,0,63,10895.4,81936
circular,2017,63,0,0,0,58,8001.9,72407
circular,2016,70,0,0,0,1483,46351.4,749881
circular,2015,92,0,0,0,60,43035.4,335053
circular,2014,70,0,0,0,59,21413.1,156110
circular,2013,61,0,0,0,54,14260.4,125725
