sii_id,codigo,fecha,corte,instancia,resumen
20,8-2012,2012-07-06,Corte de Apelaciones,Corte de Apelaciones de Talca,Código Tributario – Artículos 8 bis y 155 – Constitución Política de la República – Artículo 19 N° 24
25,32-2014,2015-08-31,Corte de Apelaciones,Corte de Apelaciones de Puerto Montt,ARTÍCULO 38 DE LA CONSTITUCIÓN POLÍTICA DE LA REPÚBLICA-ARTÍCULO 3 DEL CÓDIGO DE PROCEDIMIENTO CIVIL- ARTÍCULO 16 DEL CÓDIGO TRIBUTARIO-ARTÍCULO 13 LETRA G DE LA LEY 13.011.
48,1-2012,2012-04-09,Corte de Apelaciones,Corte de Apelaciones de Talca,Código Tributario – Artículo 21
157,158-2014,2015-05-05,Corte de Apelaciones,Corte de Apelaciones de Talca,CÓDIGO TRIBUTARIO – ARTÍCULO 21 INCISO PRIMERO
214,4-2014,2014-07-29,Corte de Apelaciones,Corte de Apelaciones de La Serena,ARTÍCULO 70 LEY SOBRE IMPUESTO A LA RENTA-ARTÍCULO 148 CÓDIGO DE COMERCIO-ARTÍCULO 684 N° 4 CÓDIGO DE PROCEDIMIENTO CIVIL
480,2-2013,2013-04-10,Corte de Apelaciones,Corte de Apelaciones de Valdivia,Ley sobre Impuesto a la Renta –Artículo 31 – Código Tributario – Artículo 21
540,05-2013,2013-08-06,Corte de Apelaciones,Corte de Apelaciones de Santiago,Artículo 97 N° 6 del Código Tributario
557,1-2013,2013-04-11,Corte de Apelaciones,Corte de Apelaciones de Puerto Montt,Código Tributario – Artículo 21
606,98-2015,2015-07-30,Corte de Apelaciones,Corte de Apelaciones de Santiago,ARTÍCULO 21 Y 59 DEL CÓDIGO TRIBUTARIO.
686,7-2015,2015-10-23,Corte de Apelaciones,Corte de Apelaciones de Coyhaique,ARTÍCULOS 41 Y 68 DE LA LEY SOBRE IMPUESTO A LA RENTA (VIGENTE EN DICIEMBRE DE 2010)
717,41-2015,2015-03-24,Corte de Apelaciones,Corte de Apelaciones de Santiago,CÓDIGO TRIBUTARIO – ARTÍCULO 132 INCISO 11
880,6-2015,2015-10-05,Corte de Apelaciones,Corte de Apelaciones de Coyhaique,ARTÍCULO 21 DEL CÓDIGO TRIBUTARIO
946,13-2015,2015-10-16,Corte de Apelaciones,Corte de Apelaciones de Concepción,ARTÍCULO 31 DE LA LEY SOBRE IMPUESTO A LA RENTA
999,15-2012,2012-12-27,Corte de Apelaciones,Corte de Apelaciones de Talca,Ley N° 18.320 – Artículo único
1045,3-2015,2015-05-20,Corte de Apelaciones,Corte de Apelaciones de Santiago,CÓDIGO TRIBUTARIO – ARTÍCULO 200
1129,5-2015,2015-04-21,Corte de Apelaciones,Corte de Apelaciones de Punta Arenas,LEY SOBRE IMPUESTO A LA RENTA – ARTÍCULO 31 N° 6
1133,5-2012,2012-11-28,Corte de Apelaciones,Corte de Apelaciones de Punta Arenas,Código Tributario – Artículo 97 N° 4 incisos 1° y 2°
1271,2-2012,2012-04-09,Corte de Apelaciones,Corte de Apelaciones de Arica,"Ley N° 19.420, que Establece Incentivos para el Desarrollo Económico de las provincias de Arica y Parinacota y Modifica Cuerpos Legales que Indica – Artículo 1° – Ley General de Ur"
1325,71-2015,2016-01-29,Corte de Apelaciones,Corte de Apelaciones de Valparaíso,ARTÍCULOS 31 Nº 3 DE LA LEY SOBRE IMPUESTO A LA RENTA Y 21 Y 64 DEL CÓDIGO TRIBUTARIO
1326,18-2015,2015-12-07,Corte de Apelaciones,Corte de Apelaciones de Punta Arenas,ARTÍCULO 31 INCISO PRIMERO Y CUARTO N° 3 DE LA LEY SOBRE IMPUESTO A LA RENTA – ARTÍCULO 200 DEL CÓDIGO TRIBUTARIO
1463,GR-12-00010-2012,2012-11-23,Corte de Apelaciones,Corte de Apelaciones de Valdivia,"Ley sobre Impuesto a la Renta – Artículos 2 N° 1 y 17 N° 4 – Código Tributario – Artículo 26 – Ley General de Cooperativas – Artículos 49, 51, 52 y 53"
1472,8-2015,2015-07-29,Corte de Apelaciones,Corte de Apelaciones de Valdivia,LEY 18.815 - ARTÍCULO 31 DE LA LEY SOBRE IMPUESTO A LA RENTA- ARTÍCULO 3º DEL CÓDIGO TRIBUTARIO- LEY Nº 20.712
1582,274-2016,2016-06-28,Corte de Apelaciones,Corte de Apelaciones de Valdivia,Juego de Azar – Máquinas Tragamonedas – Comercio Clandestino - Artículo 97 N°9 del Código Tributario - Artículo 277 del Código Penal
1686,4-2012,2012-10-18,Corte de Apelaciones,Corte de Apelaciones de Arica,"Código Tributario – Artículo 97 N° 9, 10 y 17."
1713,30-2014,2015-01-14,Corte de Apelaciones,Corte de Apelaciones de Iquique,CÓDIGO DE PROCEDIMIENTO CIVIL – ARTÍCULO 159
1717,9-2012,2012-07-04,Corte de Apelaciones,Corte de Apelaciones de Talca,Código Tributario – Artículos 21 y 97 N° 4 inciso 2° - Ley sobre Impuesto a las Ventas y Servicios – Artículo 23 N° 5.
2236,3-2015,2015-05-12,Corte de Apelaciones,Corte de Apelaciones de Valdivia,LEY 17.235 – CUADRO ANEXO NÚMERO UNO
2309,23-2014,2015-04-02,Corte de Apelaciones,Corte de Apelaciones de La Serena,LEY SOBRE IMPUESTO A LA RENTA – ARTÍCULO 17 N° 2
2383,14-2015,2015-10-27,Corte de Apelaciones,Corte de Apelaciones de Concepción,"ARTÍCULO 33 N° 1, LETRA F) DE LA LEY SOBRE IMPUESTO A LA RENTA"
