id,tipo,numero,anio,fecha,titulo,len_contenido,chars_texto,paginas,pdf_local,inicio
370,circular,49,2016,2016-07-14,Circular N° 49 del 14 de Julio del 2016,749881,749881,209,pdfs/circular/2016/circular_2016_0049.pdf,"DEPARTAMENTO EMISOR 
IMPUESTOS DIRECTOS 
 1875 
CIRCULAR N° 49.- 
13-2016 I.D. 
3-2016 S.N.
SISTEMA DE PUBLICACIONES ADMINISTRATIVAS 
FECHA: 14 de julio de 2016.- 
MATERIA: Instruye sobre las modificaciones 
efectuadas por las Leyes N°s 20.780 y 20.899 a 
la Ley sobre Impuesto a la Renta y demás 
no"
302,circular,46,2015,2015-06-11,Circular N° 46 del 11 de Junio del 2015,335053,335053,85,pdfs/circular/2015/circular_2015_0046.pdf,"Dejada sin efecto
DEPARTAMENTO EMISOR 
IMPUESTOS DIRECTOS 
 1875 
CIRCULAR N° 46.- 
41.2015 ID 
07.2015 SN 
SISTEMA DE PUBLICACIONES ADMINISTRATIVAS 
FECHA: 11 DE JUNIO DE 2015 
MATERIA: Instruye sobre las modificaciones 
efectuadas por la Ley N° 20.780 de 2014, a los 
artículos 41 A, 41 B, 41 C y 4"
278,circular,70,2015,2015-07-23,Circular N° 70 del 23 de Julio del 2015,330634,330634,78,pdfs/circular/2015/circular_2015_0070.pdf,"1 
DEPARTAMENTO EMISOR 
IMPUESTOS DIRECTOS 
 1875 
CIRCULAR N° 70.- 
43-2015 ID 
10-2015 SN 
SISTEMA DE PUBLICACIONES ADMINISTRATIVAS 
FECHA: 23 de julio de 2015.- 
MATERIA: Instruye sobre las modificaciones 
efectuadas por la Ley N° 20.780 a los N°s 5, 
6 y 8 del artículo 17, al artículo 18 y a los"
375,circular,44,2016,2016-07-12,Circular N° 44 del 12 de Julio del 2016,315745,315745,75,pdfs/circular/2016/circular_2016_0044.pdf,"1 
DEPARTAMENTO EMISOR 
IMPUESTOS DIRECTOS 
 1875 
CIRCULAR N° 44.- 
19-2016 ID 
09-2016 SN 
SISTEMA DE PUBLICACIONES ADMINISTRATIVAS 
FECHA: 12 de julio de 2016.- 
MATERIA: Instruye sobre las modificaciones 
efectuadas por la Ley N° 20.780 y la Ley N° 
20.899 a los N°s 5, 6 y 8 del artículo 17, al "
371,circular,48,2016,2016-07-12,Circular N° 48 del 12 de Julio del 2016,306736,306736,64,pdfs/circular/2016/circular_2016_0048.pdf,"DEPARTAMENTO EMISOR 
IMPUESTOS DIRECTOS
 1875 
CIRCULAR N° 48.- 
18.2016 ID 
08.2016 SN 
SISTEMA DE PUBLICACIONES ADMINISTRATIVAS 
FECHA: 12 de julio de 2016.- 
MATERIA: Instruye sobre las modificaciones 
efectuadas por la Ley N° 20.780 de 2014 y Ley N° 
20.899 de 2016 a los artículos 41 A, 41 B, y "
281,circular,67,2015,2015-07-23,Circular N° 67 del 23 de Julio del 2015,297933,297933,75,pdfs/circular/2015/circular_2015_0067.pdf,"DEPARTAMENTO EMISOR 
IMPUESTOS DIRECTOS 
 1875 
CIRCULAR N° 67.- 
66-2015 I.D. 
15-2015 S.N. 
 
SISTEMA DE PUBLICACIONES ADMINISTRATIVAS 
 
FECHA: 23 de julio de 2015.- 
MATERIA: Instruye sobre las modificaciones 
incorporadas por la Ley N° 20.780 a la Ley sobre 
Impuesto a la Renta y demás normas l"
282,circular,66,2015,2015-07-23,Circular N° 66 del 23 de Julio del 2015,285183,285183,70,pdfs/circular/2015/circular_2015_0066.pdf,"DEPARTAMENTO EMISOR 
IMPUESTOS DIRECTOS 
 1875 
CIRCULAR N° 66.- 
49-2015 I.D. 
13-2015 S.N. 
 
SISTEMA DE PUBLICACIONES ADMINISTRATIVAS 
 
FECHA: 23 de julio de 2015.- 
MATERIA: Instruye sobre las modificaciones 
incorporadas por la Ley N° 20.780 a la Ley sobre 
Impuesto a la Renta y demás normas l"
352,circular,67,2016,2016-12-07,Circular N° 67 del 07 de Diciembre del 2016,239496,239496,59,pdfs/circular/2016/circular_2016_0067.pdf,"DEPARTAMENTO EMISOR 
IMPUESTOS DIRECTOS 
 1875 
CIRCULAR N° 67 
03.2014 ID 
03.2014 SN 
SISTEMA DE PUBLICACIONES ADMINISTRATIVAS 
FECHA: 07 de diciembre de 2016 
MATERIA: 
Instruye 
sobre 
el 
régimen 
de 
tributación 
que 
afecta 
a 
los 
fondos 
administrados por administradoras de fondos de 
terc"
376,circular,43,2016,2016-07-11,Circular N° 43 del 11 de Julio del 2016,232087,232087,62,pdfs/circular/2016/circular_2016_0043.pdf,"DEPARTAMENTO EMISOR 
IMPUESTOS DIRECTOS 
 1875 
CIRCULAR N° 43.- 
20.2016 ID 
10.2016 SN 
SISTEMA DE PUBLICACIONES ADMINISTRATIVAS 
FECHA: 11 de julio de 2016.- 
MATERIA: Instruye sobre las modificaciones 
efectuadas por la Ley N° 20.780, modificada por 
la Ley N° 20.899, al régimen tributario para "
300,circular,48,2015,2015-06-15,Circular N° 48 del 15 de Junio del 2015,227766,227766,62,pdfs/circular/2015/circular_2015_0048.pdf,"Dejada sin efecto
DEPARTAMENTO EMISOR 
IMPUESTOS DIRECTOS 
 1875 
CIRCULAR N° 48.- 
42.2015 ID 
08.2015 SN 
SISTEMA DE PUBLICACIONES ADMINISTRATIVAS 
FECHA: 15 DE JUNIO DE 2015 
MATERIA: Instruye sobre las modificaciones 
efectuadas por la Ley N° 20.780, al régimen 
tributario para la micro, pequeña"
